post,responseid,duplicated,age,genderselectedchoice,raceblackafricanamerican,raceasianasianamerican,racehispaniclatinx,racenativeamericanindigenous,racenativehawaiianpacificislande,racemultiracial,racewhite,raceother,grade,primarylanguagespokenathome,program,fellow,school,whatschooldoyounormallyattendoth,q1like,q1fun,q1bored,q1todo,q2interested,q2talkupset,q2help,q2listen,q3close,q3support,q3friends,workdone,tryharderinschool,dobetterinschool,enjoyschoolmore,moreconfident_college,explorecollegeoptions,explorecareer,buildrelationships,identifycaringadult,caringadultlisten,q4learn,q4grades,q4useful,q4well,q4important,q5listen,q5important,q5raceknow,q5racelike,q6part,q6care,q6happy,q6fun,q6enjoy,q7doolder,q7college,q7interests,q7goals,q8courses,q8activities,q8financial,q8chances,q9successful,q9graduate,q9college,male,EmotionalEngagement,CognitiveEngagement,q1boredreverse,TEPPSProgEng,TEPPSProgAdult,TEPPSProgramSafety,PYDNhood,PYDDiversity,AdultPlanning,AdultAcademic,AnticipateHappen,dup,MPF: Youth Tracker,Time Served for this Reporting Period (minutes),Student Status (Active),Student Status (No student contact this reporting period),Student Status (Student no longer with the program)
0,R_0SoHf87Pjcu11jH,TRUE,5,2,0,0,0,0,0,0,0,,10,Spanish,714,1,455,,3,3,2,3,4,4,4,4,4,4,4,,,,,,,,,,,3,4,3,4,4,3,3,4,5,4,4,4,4,4,2,3,3,2,2,3,3,3,2,3,3,0,4,4,3,3,4,12,3,5,3,3,3,0,SquashBusters Boston,148315,221,17,13
1,R_wYSssTXnBytdAoF,TRUE,5,2,0,0,0,0,0,0,0,,10,30,714,1,455,,3,3,2,3,4,4,4,4,4,4,4,7,7,7,7,8,7,7,7,7,7,4,4,3,4,4,4,3,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,3,3,0,4,4,3,3,4,12,4,5,3,2,3,0,SquashBusters Boston,148315,221,17,13
0,R_1dH8FKvWWTzKLKw,FALSE,6,1,1,0,0,0,0,0,0,,11,Amharic,714,0,403,,4,4,1,3,4,4,4,4,2,3,3,,,,,,,,,,,4,4,4,4,4,4,3,4,5,4,5,5,5,5,3,3,2,3,3,3,3,3,3,3,3,1,5,4,4,4,4,8,4,5,3,3,3,0,SquashBusters Boston,148315,221,17,13
0,R_3V0XZrIgmE9NQNH,FALSE,5,1,0,0,0,0,0,0,0,,10,spanish,714,1,476,cristo rey boston,3,3,3,2,1,3,4,4,3,3,3,,,,,,,,,,,3,3,3,3,3,1,3,5,5,4,2,2,4,2,3,3,3,3,1,3,3,3,1,3,1,1,3,3,2,3,3,9,2,5,3,3,2,0,SquashBusters Boston,148315,221,17,13
0,R_BGt0r46Fn6YqPO9,TRUE,6,2,0,1,0,0,0,0,0,,11,Vietnamese,714,0,403,,4,4,1,4,4,4,4,4,4,4,4,,,,,,,,,,,4,4,3,4,4,3,3,5,5,4,5,5,4,4,3,2,3,3,3,2,2,3,3,3,3,0,5,4,4,4,4,12,3,5,3,3,3,0,SquashBusters Boston,148315,221,17,13
1,R_2WBA2cuNiIUPH7T,TRUE,6,2,0,1,0,0,0,0,0,,11,35,714,0,403,,4,4,1,4,4,4,4,4,4,4,4,8,8,8,7,8,8,8,8,8,8,4,4,3,4,4,4,4,4,5,4,5,5,4,4,3,3,3,3,3,3,2,3,2,3,3,0,5,4,4,4,4,12,4,5,3,3,3,0,SquashBusters Boston,148315,221,17,13
1,R_2zuoi7hkqO118jg,FALSE,6,1,0,0,0,0,0,0,0,,10,20,714,0,455,,4,4,1,3,3,4,4,4,4,4,4,8,7,8,7,7,7,7,8,8,8,4,4,4,3,4,4,4,3,5,5,5,5,4,5,3,3,3,3,3,3,3,3,2,2,2,1,5,4,4,4,4,12,4,4,3,3,2,0,SquashBusters Boston,148315,221,17,13
0,R_3irimsBEwNM8rV6,FALSE,5,1,1,0,0,0,0,0,0,,10,Cape Verdean Kriolu,714,1,402,,4,4,2,4,4,4,4,4,4,3,4,,,,,,,,,,,4,4,3,4,4,4,3,5,5,4,4,4,5,4,3,3,3,3,2,2,1,3,3,3,2,1,4,4,3,4,4,11,4,5,3,2,3,0,SquashBusters Boston,148315,221,17,13
0,R_3Em6PL1J9Jswxa4,TRUE,6,1,0,1,0,0,0,0,0,,11,English,714,0,455,,4,4,3,3,2,1,3,3,1,1,3,,,,,,,,,,,3,4,1,4,4,3,1,3,4,4,2,2,2,4,3,3,2,3,3,3,3,3,3,3,3,1,3,3,2,3,2,5,2,4,3,3,3,0,SquashBusters Boston,148315,221,17,13
1,R_2TQMvSj2OTLdd2S,TRUE,6,1,0,1,0,0,0,0,0,,11,20,714,0,455,,4,4,2,4,4,4,4,4,4,4,4,1,8,7,7,7,7,4,7,7,8,4,4,2,4,4,5,5,5,3,4,2,2,1,4,2,1,1,2,3,2,1,3,2,3,2,1,3,4,3,4,4,12,5,4,2,2,2,0,SquashBusters Boston,148315,221,17,13
0,R_2Vlnfh6bdxfRVdY,FALSE,6,1,1,0,0,0,0,0,0,,11,English,714,0,455,,3,4,2,4,3,4,4,4,3,3,4,,,,,,,,,,,3,3,3,3,3,4,5,4,4,4,4,4,4,4,3,2,2,3,2,2,1,2,2,3,2,1,4,3,3,4,4,10,5,4,3,2,2,0,SquashBusters Boston,148315,221,17,13
0,R_Z1ZiikvRKhAxb8J,FALSE,6,1,0,0,0,0,0,0,0,,10,Spanish,714,1,408,,4,4,1,4,4,4,4,4,4,4,4,,,,,,,,,,,4,4,4,4,4,4,2,4,4,4,4,5,4,5,3,2,2,2,2,2,1,1,2,3,2,1,4,4,4,4,4,12,3,4,2,2,2,0,SquashBusters Boston,148315,221,17,13
0,R_22zyPMBs7G7lVZI,FALSE,6,1,0,0,0,0,0,0,1,,11,English,714,0,455,,4,4,1,4,4,3,4,4,3,4,4,,,,,,,,,,,4,3,2,3,4,5,1,5,5,5,5,5,2,4,3,3,3,3,2,3,1,3,3,3,3,1,5,3,4,4,4,11,3,5,3,2,3,0,SquashBusters Boston,148315,221,17,13
0,R_Y4gH8cUs121EGop,FALSE,5,2,0,0,0,0,0,0,0,,10,spanish,714,1,455,,4,3,1,4,3,4,4,4,4,4,3,,,,,,,,,,,4,4,3,3,4,3,2,5,5,4,2,2,2,2,2,2,2,2,3,3,1,2,2,3,2,0,3,4,4,4,4,11,3,5,2,2,2,0,SquashBusters Boston,148315,221,17,13
0,R_3sntsp2dZc8A9x1,FALSE,5,3,0,0,0,0,0,0,0,,10,Spanish,714,0,455,,1,1,4,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,1,1,1,1,1,0,SquashBusters Boston,148315,221,17,13
0,R_1gHAtkAFQoN1bw5,TRUE,6,1,1,0,0,0,0,0,0,,11,Cape Verdean Creole,714,0,455,,4,4,1,4,4,4,4,4,4,4,4,,,,,,,,,,,4,4,4,4,4,4,2,4,5,5,5,5,5,5,3,2,2,3,2,2,1,3,1,3,3,1,5,4,4,4,4,12,3,5,3,2,2,0,SquashBusters Boston,148315,221,17,13
1,R_3rP4Ek9zmp5Iyn3,TRUE,7,1,1,0,0,0,0,0,0,,11,17,714,1,455,,4,4,1,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,4,4,2,4,4,3,2,5,5,5,5,4,4,1,3,3,3,3,3,3,2,3,1,3,3,1,5,4,4,4,4,12,3,5,3,3,2,0,SquashBusters Boston,148315,221,17,13
0,R_tXxEyYDOy3tvzwt,TRUE,6,2,0,0,0,0,0,0,1,,11,English,714,0,455,,4,3,2,4,4,4,4,4,4,4,4,,,,,,,,,,,4,4,3,4,3,1,1,5,5,4,4,4,2,4,3,3,3,3,3,2,2,3,2,3,3,0,4,4,3,4,4,12,1,5,3,3,3,0,SquashBusters Boston,148315,221,17,13
1,R_2SqU54fq2xoDFir,TRUE,6,2,0,0,0,0,0,0,1,,11,20,714,1,455,,4,4,2,4,4,4,4,4,4,4,4,8,7,8,7,8,8,8,8,8,8,4,4,2,4,3,2,2,5,5,4,4,4,4,4,3,3,3,3,2,2,1,2,3,3,3,0,4,3,3,4,4,12,2,5,3,2,3,0,SquashBusters Boston,148315,221,17,13
0,R_1gwQCAGJilND1MN,TRUE,6,1,1,0,0,0,0,0,0,,11,Haitian Creole,714,0,455,,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3,2,3,3,2,2,2,4,4,4,2,2,2,1,1,1,1,1,1,1,1,2,3,1,1,3,3,2,3,3,9,2,3,1,1,2,0,SquashBusters Boston,148315,221,17,13
1,R_2R7VyE2TNiJRHYh,TRUE,7,1,1,0,0,0,0,0,0,,11,23,714,0,455,,3,3,2,3,4,4,4,4,4,4,3,7,4,7,4,7,7,7,4,7,4,2,3,2,3,2,1,3,1,4,4,4,2,2,2,2,2,1,2,1,1,1,1,2,3,2,1,3,2,3,3,4,11,2,3,2,1,2,0,SquashBusters Boston,148315,221,17,13
0,R_3P7wbD7eAhSnJ6Q,TRUE,5,2,0,1,0,0,0,0,0,,10,Vietnamese,714,1,455,,4,4,1,4,3,3,3,4,3,3,4,,,,,,,,,,,4,4,4,4,4,1,1,4,4,4,4,4,2,2,3,3,3,3,2,3,3,3,3,3,3,0,4,4,4,4,3,10,1,4,3,3,3,0,SquashBusters Boston,148315,221,17,13
0,R_3KIKAuXJR9Hc0Vu,FALSE,6,2,0,1,0,0,0,0,0,,10,Vietnamese,714,1,455,,4,4,1,4,4,3,3,4,4,4,4,,,,,,,,,,,4,4,4,4,4,3,4,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,0,5,4,4,4,4,12,4,5,3,3,3,0,SquashBusters Boston,148315,221,17,13
1,R_1QuMFIdx5oFNlde,FALSE,6,2,0,0,0,0,0,0,0,,10,30,714,1,399,,3,3,2,3,4,4,4,4,3,3,3,8,7,8,7,8,8,8,7,8,7,3,4,3,3,4,4,4,5,5,4,4,4,4,4,2,2,2,2,2,2,2,2,3,3,3,0,4,3,3,3,4,9,4,5,2,2,3,0,SquashBusters Boston,148315,221,17,13
0,R_1gnBoscWHdbzC7Z,FALSE,5,2,0,0,0,0,0,0,0,,10,Spanish,714,1,399,,2,3,2,3,3,4,4,4,4,4,4,,,,,,,,,,,4,4,4,4,4,3,2,3,4,4,4,4,4,4,3,3,2,3,2,2,2,2,3,3,3,0,4,4,3,3,4,12,3,4,3,2,3,0,SquashBusters Boston,148315,221,17,13
1,R_3MM8u3BLdOc1vKl,TRUE,6,1,0,0,0,0,0,0,0,1,10,20,714,1,455,,3,3,2,3,3,3,3,3,3,3,4,7,7,7,7,7,7,7,7,7,7,3,3,2,3,3,1,1,4,4,4,4,4,4,4,3,3,3,3,3,3,2,3,1,1,1,1,4,3,3,3,3,10,1,4,3,3,1,0,SquashBusters Boston,148315,221,17,13
0,R_24BKqUDApMD3bcf,TRUE,5,2,1,0,0,0,0,1,0,,10,English,714,1,402,,4,4,2,4,4,4,3,4,3,3,3,,,,,,,,,,,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,2,2,2,2,3,3,3,0,4,4,3,4,4,9,3,4,3,2,3,0,SquashBusters Boston,148315,221,17,13
1,R_2t8L3RcSZh1PkMu,TRUE,6,2,1,0,0,0,0,1,0,,10,20,714,1,402,,4,3,2,3,4,3,3,4,4,4,4,4,4,4,4,7,7,7,7,7,7,4,3,3,4,4,2,2,4,3,2,2,4,2,2,3,3,3,3,1,2,2,1,2,3,3,0,3,4,3,3,4,12,2,4,3,2,3,0,SquashBusters Boston,148315,221,17,13
0,R_28CmxYXEtqoqrxS,FALSE,5,1,1,0,0,0,0,0,0,,10,English,714,1,455,,4,4,1,4,4,4,4,4,4,4,4,,,,,,,,,,,4,4,4,4,4,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,1,5,4,4,4,4,12,5,5,3,3,3,0,SquashBusters Boston,148315,221,17,13
0,R_2QWA5CUpulCxdhJ,TRUE,6,2,0,1,0,0,0,0,0,,11,Vietnamese,714,0,464,,3,3,2,3,4,3,3,4,4,3,4,,,,,,,,,,,3,3,3,4,4,3,3,4,5,4,4,4,4,4,2,3,2,2,2,3,2,2,3,3,3,0,4,3,3,3,4,11,3,5,2,2,3,0,SquashBusters Boston,148315,221,17,13
1,R_1Hd7H70SkcgKvEA,TRUE,7,2,0,1,0,0,0,0,0,,11,35,714,0,464,,4,4,2,4,4,4,4,4,4,4,4,8,8,8,8,8,8,7,8,8,8,3,3,3,3,3,4,4,4,5,4,4,4,4,4,2,2,3,2,1,1,1,1,3,3,3,0,4,3,3,4,4,12,4,5,2,1,3,0,SquashBusters Boston,148315,221,17,13
0,R_1nQ59rWvo4ip9z7,FALSE,6,5,0,0,0,0,0,0,0,,11,Spanish,714,0,455,,2,3,3,2,3,3,3,3,3,3,3,,,,,,,,,,,3,4,2,4,4,3,3,5,5,2,2,4,4,2,2,3,3,2,1,2,3,3,2,3,2,0,3,3,2,2,3,9,3,5,3,2,2,0,SquashBusters Boston,148315,221,17,13
1,R_1pEuezqrcpXgEkm,FALSE,7,2,1,0,0,0,0,0,0,,11,23,714,0,455,,3,3,2,3,4,4,4,4,2,3,4,7,7,4,4,4,7,4,4,7,7,4,4,2,4,4,3,3,5,5,2,2,2,2,2,3,3,2,1,2,2,1,2,2,3,3,0,2,4,3,3,4,9,3,5,2,2,3,0,SquashBusters Boston,148315,221,17,13
0,R_3oyzhy2EJC8lJ3L,TRUE,5,2,1,0,0,0,0,0,0,,10,English,714,1,455,,2,3,2,3,3,3,3,4,3,3,4,,,,,,,,,,,4,4,4,4,4,2,3,5,5,4,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,0,5,4,3,3,3,10,3,5,3,3,3,0,SquashBusters Boston,148315,221,17,13
1,R_2fHgfZOTgjqRlAM,TRUE,6,2,1,0,0,0,0,0,0,1,10,20,714,1,455,,3,4,2,4,4,4,4,4,4,4,4,8,7,7,7,7,7,4,8,7,7,4,4,4,4,4,4,4,5,5,5,5,5,4,4,3,3,3,3,3,3,2,2,3,3,3,0,5,4,3,4,4,12,4,5,3,3,3,0,SquashBusters Boston,148315,221,17,13
1,R_1DvA56GlxEc5HaK,TRUE,7,1,1,0,0,0,0,0,0,,11,20,714,1,476,Boston Green academy ,4,4,2,4,4,4,4,4,4,4,4,4,4,7,4,8,8,7,8,8,8,3,4,3,3,4,4,4,3,5,4,4,4,4,4,3,2,2,2,3,3,2,3,3,3,3,1,4,3,3,4,4,12,4,4,2,3,3,0,SquashBusters Boston,148315,221,17,13
